experiment_id,student_id,student_prior_started_skill_builder_count,student_prior_completed_skill_builder_count,student_prior_started_problem_set_count,student_prior_completed_problem_set_count,student_prior_completed_problem_count,student_prior_median_first_response_time,student_prior_median_time_on_task,student_prior_average_correctness,student_prior_average_attempt_count,class_id,class_creation_date,class_student_count,class_prior_skill_builder_count,class_prior_problem_set_count,class_prior_skill_builder_percent_started,class_prior_skill_builder_percent_completed,class_prior_problem_set_percent_started,class_prior_problem_set_percent_completed,class_prior_completed_problem_count,class_prior_median_time_on_task,class_prior_median_first_response_time,class_prior_average_correctness,class_prior_average_attempt_count,teacher_id,teacher_account_creation_date,district_id,location,opportunity_zone,locale_description
PSA29FC,13474,21,21,54,47,608,33.9495,37.2585,0.7202970297029703,1.2072368421052633,1451,2019-08-12 12:16:21.564000-04:00,35,20,114,90.5714285714286,92.5867507886435,62.0050125313283,87.2271624898949,28501,39.901,35.338,0.7068715719755769,1.266376618364268,9968,2019-06-13 11:39:07.003000-04:00,112.0,Arizona,Yes,Suburb: Large
PSA29FC,13379,21,21,75,63,795,67.306,75.648,0.7954971857410882,1.2188679245283018,1451,2019-08-12 12:16:21.564000-04:00,35,20,114,90.5714285714286,92.5867507886435,62.0050125313283,87.2271624898949,28501,39.901,35.338,0.7068715719755769,1.266376618364268,9968,2019-06-13 11:39:07.003000-04:00,112.0,Arizona,Yes,Suburb: Large
PSA29FC,13490,16,13,84,73,925,63.877,70.345,0.756578947368421,1.224864864864865,1451,2019-08-12 12:16:21.564000-04:00,35,20,114,90.5714285714286,92.5867507886435,62.0050125313283,87.2271624898949,28501,39.901,35.338,0.7068715719755769,1.266376618364268,9968,2019-06-13 11:39:07.003000-04:00,112.0,Arizona,Yes,Suburb: Large
PSA29FC,13498,21,21,88,81,1110,29.8585,34.0665,0.7038961038961039,1.3171171171171172,1451,2019-08-12 12:16:21.564000-04:00,35,20,114,90.5714285714286,92.5867507886435,62.0050125313283,87.2271624898949,28501,39.901,35.338,0.7068715719755769,1.266376618364268,9968,2019-06-13 11:39:07.003000-04:00,112.0,Arizona,Yes,Suburb: Large
PSA29FC,13500,13,13,96,91,1155,35.437,39.137,0.6436931079323797,1.4493506493506494,1451,2019-08-12 12:16:21.564000-04:00,35,20,114,90.5714285714286,92.5867507886435,62.0050125313283,87.2271624898949,28501,39.901,35.338,0.7068715719755769,1.266376618364268,9968,2019-06-13 11:39:07.003000-04:00,112.0,Arizona,Yes,Suburb: Large
PSA29FC,13501,21,21,101,87,1148,51.1185,55.3155,0.6975546975546976,1.2195121951219512,1451,2019-08-12 12:16:21.564000-04:00,35,20,114,90.5714285714286,92.5867507886435,62.0050125313283,87.2271624898949,28501,39.901,35.338,0.7068715719755769,1.266376618364268,9968,2019-06-13 11:39:07.003000-04:00,112.0,Arizona,Yes,Suburb: Large
PSA29FC,102464,20,20,29,29,410,34.808,35.7675,0.9138461538461539,1.0658536585365854,1451,2019-08-12 12:16:21.564000-04:00,35,20,114,90.5714285714286,92.5867507886435,62.0050125313283,87.2271624898949,28501,39.901,35.338,0.7068715719755769,1.266376618364268,9968,2019-06-13 11:39:07.003000-04:00,112.0,Arizona,Yes,Suburb: Large
PSA29FC,13508,21,19,61,58,744,31.5195,33.911,0.807909604519774,1.2029569892473118,1451,2019-08-12 12:16:21.564000-04:00,35,20,114,90.5714285714286,92.5867507886435,62.0050125313283,87.2271624898949,28501,39.901,35.338,0.7068715719755769,1.266376618364268,9968,2019-06-13 11:39:07.003000-04:00,112.0,Arizona,Yes,Suburb: Large
PSA29FC,13325,20,18,96,90,1191,36.364,42.968,0.6768665850673194,1.3610411418975652,1451,2019-08-12 12:16:21.564000-04:00,35,20,114,90.5714285714286,92.5867507886435,62.0050125313283,87.2271624898949,28501,39.901,35.338,0.7068715719755769,1.266376618364268,9968,2019-06-13 11:39:07.003000-04:00,112.0,Arizona,Yes,Suburb: Large
PSA29FC,13328,20,20,49,35,476,40.819,42.795,0.804416403785489,1.184873949579832,1451,2019-08-12 12:16:21.564000-04:00,35,20,114,90.5714285714286,92.5867507886435,62.0050125313283,87.2271624898949,28501,39.901,35.338,0.7068715719755769,1.266376618364268,9968,2019-06-13 11:39:07.003000-04:00,112.0,Arizona,Yes,Suburb: Large
PSA29FC,15848,15,11,89,74,961,31.791,36.001,0.7365930599369085,1.2622268470343392,1451,2019-08-12 12:16:21.564000-04:00,35,20,114,90.5714285714286,92.5867507886435,62.0050125313283,87.2271624898949,28501,39.901,35.338,0.7068715719755769,1.266376618364268,9968,2019-06-13 11:39:07.003000-04:00,112.0,Arizona,Yes,Suburb: Large
PSA29FC,16165,20,18,51,42,531,38.525,41.789,0.68,1.4293785310734464,1451,2019-08-12 12:16:21.564000-04:00,35,20,114,90.5714285714286,92.5867507886435,62.0050125313283,87.2271624898949,28501,39.901,35.338,0.7068715719755769,1.266376618364268,9968,2019-06-13 11:39:07.003000-04:00,112.0,Arizona,Yes,Suburb: Large
PSA29FC,13433,20,18,87,81,1155,16.102,19.889,0.45,1.387012987012987,1451,2019-08-12 12:16:21.564000-04:00,35,20,114,90.5714285714286,92.5867507886435,62.0050125313283,87.2271624898949,28501,39.901,35.338,0.7068715719755769,1.266376618364268,9968,2019-06-13 11:39:07.003000-04:00,112.0,Arizona,Yes,Suburb: Large
PSA29FC,13329,19,14,40,30,360,29.864,33.5695,0.7,1.2944444444444445,1451,2019-08-12 12:16:21.564000-04:00,35,20,114,90.5714285714286,92.5867507886435,62.0050125313283,87.2271624898949,28501,39.901,35.338,0.7068715719755769,1.266376618364268,9968,2019-06-13 11:39:07.003000-04:00,112.0,Arizona,Yes,Suburb: Large
PSA29FC,13448,20,20,103,93,1218,43.9795,47.8585,0.8066502463054187,1.1650246305418719,1451,2019-08-12 12:16:21.564000-04:00,35,20,114,90.5714285714286,92.5867507886435,62.0050125313283,87.2271624898949,28501,39.901,35.338,0.7068715719755769,1.266376618364268,9968,2019-06-13 11:39:07.003000-04:00,112.0,Arizona,Yes,Suburb: Large
PSA29FC,13371,21,20,59,54,730,30.383,35.5405,0.6808510638297872,1.2821917808219179,1451,2019-08-12 12:16:21.564000-04:00,35,20,114,90.5714285714286,92.5867507886435,62.0050125313283,87.2271624898949,28501,39.901,35.338,0.7068715719755769,1.266376618364268,9968,2019-06-13 11:39:07.003000-04:00,112.0,Arizona,Yes,Suburb: Large
PSA29FC,16435,20,19,78,61,802,22.908,26.6235,0.5722433460076045,1.2930174563591021,1451,2019-08-12 12:16:21.564000-04:00,35,20,114,90.5714285714286,92.5867507886435,62.0050125313283,87.2271624898949,28501,39.901,35.338,0.7068715719755769,1.266376618364268,9968,2019-06-13 11:39:07.003000-04:00,112.0,Arizona,Yes,Suburb: Large
PSA29FC,16436,18,15,88,85,1088,17.349,19.17,0.6990424076607387,1.1773897058823528,1451,2019-08-12 12:16:21.564000-04:00,35,20,114,90.5714285714286,92.5867507886435,62.0050125313283,87.2271624898949,28501,39.901,35.338,0.7068715719755769,1.266376618364268,9968,2019-06-13 11:39:07.003000-04:00,112.0,Arizona,Yes,Suburb: Large
PSA29FC,16437,17,15,35,33,415,31.21,35.887,0.7452471482889734,1.2265060240963854,1451,2019-08-12 12:16:21.564000-04:00,35,20,114,90.5714285714286,92.5867507886435,62.0050125313283,87.2271624898949,28501,39.901,35.338,0.7068715719755769,1.266376618364268,9968,2019-06-13 11:39:07.003000-04:00,112.0,Arizona,Yes,Suburb: Large
PSA29FC,16438,21,21,65,59,778,34.049,37.0105,0.8283582089552238,1.1285347043701799,1451,2019-08-12 12:16:21.564000-04:00,35,20,114,90.5714285714286,92.5867507886435,62.0050125313283,87.2271624898949,28501,39.901,35.338,0.7068715719755769,1.266376618364268,9968,2019-06-13 11:39:07.003000-04:00,112.0,Arizona,Yes,Suburb: Large
PSA29FC,16439,20,20,98,97,1273,41.591,45.886,0.8436406067677946,1.171249018067557,1451,2019-08-12 12:16:21.564000-04:00,35,20,114,90.5714285714286,92.5867507886435,62.0050125313283,87.2271624898949,28501,39.901,35.338,0.7068715719755769,1.266376618364268,9968,2019-06-13 11:39:07.003000-04:00,112.0,Arizona,Yes,Suburb: Large
PSA29FC,16441,20,17,54,37,489,45.247,49.284,0.7283950617283951,1.1983640081799591,1451,2019-08-12 12:16:21.564000-04:00,35,20,114,90.5714285714286,92.5867507886435,62.0050125313283,87.2271624898949,28501,39.901,35.338,0.7068715719755769,1.266376618364268,9968,2019-06-13 11:39:07.003000-04:00,112.0,Arizona,Yes,Suburb: Large
PSA29FC,16443,19,17,94,93,1223,19.579,23.799,0.5284848484848484,1.3229762878168438,1451,2019-08-12 12:16:21.564000-04:00,35,20,114,90.5714285714286,92.5867507886435,62.0050125313283,87.2271624898949,28501,39.901,35.338,0.7068715719755769,1.266376618364268,9968,2019-06-13 11:39:07.003000-04:00,112.0,Arizona,Yes,Suburb: Large
